Page,Text,Definition (Appendix),
1,"Report On The Investigation Into Russian Interference In The 2016 Presidential Election Volume I of II Special Counsel Robert S. Mueller, III Submitted Pursuant to 28 C.F.R. § 600.8(c) Washington, D.C.",,
1,March 2019,,
2,"[Blank, Not Redacted]",,
3,[Table of Contents],,
4,[Table of Contents],,
5,[Table of Contents],,
6,[Table of Contents],,
7,[Table of Contents],,
8,"[Blank, Not Redacted]",,
9,INTRODUCTION TO VOLUME I,,
9,"This report is submitted to the Attorney General pursuant to 28 C.F.R. § 600.8(c), which states that, ""[a] t the conclusion of the Special Counsel's work, he... shall provide the Attorney General a confidential report explaining the prosecution or declination decisions [the Special Counsel] reached.""",,
9,"The Russian government interfered in the 2016 presidential election in sweeping and systematic fashion. Evidence of Russian government operations began to surface in mid-2016. In June, the Democratic National Committee and its cyber response team publicly announced that Russian hackers had compromised its computer network. Releases of hacked materials -- hacks that public reporting soon attributed to the Russian government -- began that same month.",,
9,"Additional releases followed in July through the organization WikiLeaks, with further releases in October and November.",,
9,"In late July 2016, soon after WikiLeaks's first release of stolen documents, a foreign government contacted the FBI about a May 2016 encounter with Trump Campaign foreign policy advisor George Papadopoulos. Papadopoulos had suggested to a representative of that foreign government that the Trump Campaign had received indications from the Russian government that it could assist the Campaign through the anonymous release of information damaging to Democratic presidential candidate Hillary Clinton. That information prompted the FBI on July 31, 2016, to open an investigation into whether individuals associated with the Trump Campaign were coordinating with the Russian government in its interference activities, That fall, two federal agencies jointly announced that the Russian government ""directed recent compromises of e-mails from US persons and institutions, including US political organizations,"" and, ""[t] hese thefts and disclosures are intended to interfere with the US election process."" After the election, in late December 2016, the United States imposed sanctions on Russia for having interfered in the election. By early 2017, several congressional committees were examining Russia's interference in the election.",,
9,"Within the Executive Branch, these investigatory efforts ultimately led to the May 2017 appointment of Special Counsel Robert S. Mueller, III. The order appointing the Special Counsel authorized him to investigate ""the Russian government's efforts to interfere in the 2016 presidential election,"" including any links or coordination between the Russian government and individuals associated with the Trump Campaign.",,
9,"As set forth in detail in this report, the Special Counsel's investigation established that Russia interfered in the 2016 presidential election principally through two operations. First, a Russian entity carried out a social media campaign that favored presidential candidate Donald J.",,
