line,text
1,WATERGATE 
2,Special 
3,Prosecution 
4,Force 
5,"For sale by the Superintendent of Documents, U.S. Government Printing Office "
6,"Washington, D.C. 20402 - Price $2.65 "
7,Stock Number 027-000-00335-4 
8,Contents 
9,Page 
10,Introduction 1 
11,Brief History of the Watergate Special Prosecution 
12,Force 4 
13,Policies and Procedures for Investigation and 
14,Prosecution 21 
15,Major Investigations and Other Actions 50 
16,Relations With White House During the Nixon and 
17,Ford Administrations 87 
18,Concluding Observations and Recommendations 134 
19,APPENDIX 
20,A. Status Report of Cases 155 
21,B. Organizational History 171 
22,C. Relations With the U.S. Attorney for the 
23,District of Columbia 100 
24,D. Relations With the Attorney General 195 
25,E. Relations With Congressional Committees 205 
26,F. Relations With Other Law Enforcement 
27,Agencies 217 
28,G. Press Relations 227 
29,H. Computer Systems 231 
30,I. Administration 242 
31,J. Charter Documents 245 
32,K. Chronology 253 
33,L. Bibliography of Watergate Source Materials__ 265 
34,M. Staff List 274 
35,iii 
36,Introduction 
37,The Watergate Special Prosecution Force (WSPF) has worked 
38,for 28 months as an independent investigatory and prosecutive 
39,"agency within the Department of Justice. As a result of its work, "
40,judges and juries have applied the criminal sanction to an unpre- 
41,cedented number of high Government officials and to important 
42,business leaders. The Special Prosecutor’s mandate includes the 
43,requirement that he shall report to the public and to Congress about 
44,his activities. 
45,Some of the task lies ahead. Appeals will proceed for probably 
46,two years or more. A few cases have to be completed. But most of 
47,the work of the office is done and most of the staff have finished their 
48,tasks. It now seems appropriate to summarize the completed work 
49,in a comprehensive report. 
50,No group of prosecutors and supporting personnel ever have 
51,labored under greater public scrutiny. Every decision seemed to be 
52,a delicate one and previously uncharted courses frequently had to 
53,be faced. Each action occurred in the midst of a national turmoil 
54,"and, in retrospect, some may be judged in the future as just plain "
55,"wrong. This report seeks not to justify, but to explain. The Congress, "
56,the American people and other law enforcement agencies gave con- 
57,"tinued support to the efforts of this office. A full accounting, within "
58,the confines and strictures that the law properly places upon pros- 
59,"ecutors, is required. "
60,This report contains no facts about alleged criminal activity not 
61,previously disclosed in a public forum. Many public officials saw 
62,the Special Prosecutor as one with special privileges to lay bare what 
63,"witnesses had said and to offer his own, personal conclusions as to "
64,what really happened. Other persons also asserted that President 
65,"Nixon’s pardon, and Congress’ passage in the middle of WSPF’s "
66,"work of a retroactive, 3-year statute of limitations for campaign law "
67,violations (replacing the normal 5-year period for initiating pro- 
68,"secutions) reinforced the propriety of releasing grand jury testimony, "
69,"informants’ allegations, and the confidential assertions of cooperative "
70,witnesses. 
71,"However, for WSPF to make public the evidence it gathered "
72,concerning the former President and others who were not charged 
73,1
74,with criminal offenses would be to add another abuse of power to 
75,those that led to creation of a Special Prosecutor’s office. The Federal 
76,Rules of Criminal Procedure prohibit the disclosure of information 
77,presented to a grand jury except as necessary in the course of criminal 
78,proceedings. 1 The American Bar Association reinforces this stricture 
79,in its Code of Professional Responsibility and limits the circumstances 
80,under which attorneys involved in criminal investigations are free 
81,to make out-of-court statements about the details of their work. 
82,"Most important, in terms of the American constitutional system "
83,"of government, is the notion of fundamental fairness for those who, "
84,"after investigation, have not been charged with any criminal miscon- "
85,duct. This consideration is particularly important for a Special 
86,Prosecutor whose independence considerably reduces his accountabil- 
87,ity and who must be unusually sensitive to possible abuses of his 
88,power. It is a basic axiom of our system of justice that every man is 
89,innocent unless proven guilty after judicial proceedings designed to 
90,protect his rights and to ensure a fair adjudication of the charges 
91,"against him. Where no such charges are brought, it would be irre- "
92,sponsible and unethical for a prosecutor to issue a report suggesting 
93,criminal conduct on the part of an individual who has no effective 
94,means of challenging the allegations against him or of requiring the 
95,prosecutor to establish such charges beyond a reasonable doubt. 
96,The decision to remain within the boundaries placed upon all other 
97,prosecutors is in no sense an absolute bar to public knowledge; 
98,approximately a quarter of a million pages of Watergate facts already 
99,exist for public consumption. This material includes the public hear- 
100,ings and published reports of the Senate Select Committee on Presi- 
101,"dential Campaign Activities and the House Judiciary Committee, "
102,"other existing and forthcoming reports of Congressional committees, "
103,the voluminous records of the criminal trials resulting from WSPF’s 
104,"investigations, evidence obtained in several civil suits, and numerous "
105,books and articles analyzing the events of “Watergate” from a variety 
106,of perspectives. The most significant of such records are listed in a 
107,"bibliography in the appendix to this report. In addition, the Presi- "
108,"dential Recordings and Materials Preservation Act of 1974, if upheld "
109,"by the courts, will provide the public with access to enormous amounts "
110,1 Recorded Presidential conversations were made available to the Special 
111,Prosecutor and the grand jury only for use in the investigation and prosecution 
112,"of criminal charges, not for the purposes of a public report. Since the Supreme "
113,Court in United States v. Nixon ordered the President to supply the tapes only 
114,"for such use, the Special Prosecutor is barred from disclosing any Presidential "
115,materials other than those used in court proceedings. The public’s right of access 
116,"to these materials, along with the former President’s assertion of ownership and "
117,"executive privilege to control their disclosure, is now the subject of litigation "
118,which also restrains release of Presidential materials. 
119,2
120,"of information from the files of the Nixon Administration, including "
121,tape recordings of Presidential conversations. 
122,"Subject to the constraints described above, the following report "
123,attempts to describe accurately and completely the policies and opera- 
124,"tions of the Watergate Special Prosecution Force from May 29, 1973 "
125,to the middle of September 1975. The five chapters of the main report 
126,"contain a narrative of operations, a description of office policies and "
127,"practices in investigative and prosecutive decisions, summaries of "
128,"major investigations, a narrative of relations with the White House "
129,"during the Nixon and Ford Administrations, and observations and "
130,recommendations. The attached appendix contains more detailed 
131,information on the organization of the office; relations with U.S. 
132,"Attorneys, Congressional committees and other law enforcement "
133,agencies; press relations; the office administration and information 
134,system; a chronology; a status report of all court matters; and the 
135,bibliography. 
136,3
137,Brief History 
138,of the Watergate 
139,Special Prosecution Force 
140,BACKGROUND AND ESTABLISHMENT OF OFFICE 
141,Agents of the Committee to Re-Elect the President (CRP) broke 
142,into the Democratic National Committee headquarters in the Water- 
143,"gate office complex on June 17, 1972. The resulting conspiracy, "
144,"burglary, and wiretapping charges produced convictions of seven "
145,men the following January in a trial before Chief Judge John J. Sirica 
146,of the U.S. District Court for the District of Columbia. By that time 
147,various public allegations had created suspicions that high-level 
148,officials of CRP and the Nixon Administration had engaged in a 
149,"variety of illegal activities connected with the 1972 campaign, of which "
150,"the Watergate break-in was only one. As a result, the Senate estab- "
151,"lished its Select Committee on Presidential Campaign Activities, "
152,"chaired by Senator Sam J. Ervin, Jr. "
153,"On March 19, 1973, before the Select Committee hearings started, "
154,"James W. McCord, one of the convicted Watergate burglars, wrote "
155,an explosive letter to Judge Sirica who was to sentence him 4 days 
156,"later. McCord’s letter, revealed in open court, claimed that Govern- "
157,ment witnesses had committed perjury during his trial and that the 
158,trial had failed to identify others involved in the Watergate operation. 
159,"Throughout April, news accounts based on the reopening of the "
160,"criminal investigation, the initial Select Committee inquiries and "
161,press investigations — as well as public statements by the Adminis- 
162,tration — increased public doubt about the conduct of high White 
163,House and campaign officials. These doubts heightened at the end 
164,"of April with the dismissal of the counsel to the President, and the "
165,"resignation of the Attorney General, the acting director of the Federal "
166,"Bureau of Investigation, and two of the President’s closest aides. "
167,Further public concern arose about the desirability of the U.S. 
168,"Attorney’s office continuing its investigation, especially in light of "
169,publicly assumed interference from Justice Department and White 
170,House officials. During his confirmation hearings before the Senate 
171,"Judiciary Committee, the newly designated Attorney General, Elliot "
172,4
173,"Richardson, pledged to appoint an independent special prosecutor to "
174,take over the inquiry. 
175,"With the approval of the Judiciary Committee, Richardson and "
176,"Archibald Cox, his ultimate choice for the post of Special Prosecutor, "
177,"agreed upon the terms of Cox’s charter. The resulting statement, "
178,"entitled “Duties and Responsibilities of the Special Prosecutor,” be- "
179,came part of Department of Justice regulations and defined the 
180,Special Prosecutor’s jurisdiction in these terms: 
181,The Special Prosecutor shall have full authority for investigat- 
182,ing and prosecuting offenses arising out of the unauthorized entry 
183,into Democratic National Committee headquarters at the Water- 
184,"gate, all offenses arising out of the 1972 presidential election for "
185,which the Special Prosecutor deems it necessary and appropriate 
186,"to assume responsibility, allegations involving the President, "
187,"members of the White House staff, or presidential appointees, and "
188,any other matters which he consents to have assigned to him by 
189,the Attorney General. 
190,"Richardson also pledged to Cox adequate funding, complete inde- "
191,"pendence in hiring and supervising his staff, and sole responsibility "
192,for contesting any “executive privilege” or “national security” claims 
193,which might be raised to prevent the acquisition of evidence. Cox could 
194,decide whether to seek grants of immunity (subject to the Attorney 
195,"General’s approval as required by statute), and whether and to what "
196,extent he would inform or consult with the Attorney General about his 
197,work. Richardson further agreed that he would not “countermand or 
198,"interfere with the Special Prosecutor’s decisions or actions,” and that "
199,he could remove Cox from office only for “extraordinary improprie- 
200,"ties.” On May 25, 1973, Cox was sworn in as Special Prosecutor and "
201,the Watergate Special Prosecution Force (WSPF) was officially 
202,established within the Department of Justice. 
203,"MAY 25-OCTOBER 20, 1973 "
204,Richardson had told the Senate Judiciary Committee that Cox’s 
205,"jurisdiction would include the Watergate case, the activities of alleged "
206,"political saboteur Donald Segretti, the office burglary of Dr. Lewis "
207,"Fielding, Daniel Ellsberg’s psychiatrist, and illegal activity involving "
208,1972 campaign contributions that Cox chose to investigate. Richardson 
209,"later referred to Cox certain allegations, including possible perjury in "
210,Senate hearings relating to Administration handling of an antitrust 
211,suit against the International Telephone and Telegraph Corporation 
212,(ITT). When the Justice Department’s Criminal and Tax Divisions 
213,were conducting any investigations regarding matters related to his 
214,"jurisdiction, they would inform the Special Prosecutor and ascertain "
215,"if he wanted to take responsibility. In addition, after initial discussions "
216,"and inquiries, the Special Prosecutor arranged to use the FBI for "
217,5
218,investigative work and to send investigative requests directly to the 
219,Bureau without transmittal through the Attorney General. 1 
220,One of Cox’s first problems was the possible impact on his work of 
221,"the Senate Select Committee’s televised hearings, which had begun "
222,about a week before he took office. Although the Committee and the 
223,Special Prosecutor’s office were investigating many of the same allega- 
224,"tions about Watergate and other Nixon Administration activities, "
225,each meant to use the information it would gather for a different 
226,"purpose, in accord with its particular responsibilities. The Committee "
227,sought to bring facts before the public in order to propose legislative 
228,remedies for any abuses it might uncover; the Special Prosecutor had 
229,the responsibility of investigating and prosecuting specific criminal 
230,charges. The danger existed that legislative hearings might frustrate 
231,"the criminal proceedings. For example, in order to obtain the testimony "
232,"of several important witnesses, the Committee planned to immunize "
233,"them, thus barring any prosecution that could be shown to be based "
234,"on any direct or indirect use of their Senate testimony. In addition, "
235,the televised hearings might create adverse publicity about potential 
236,"defendants in criminal trials, especially a Watergate trial that then "
237,"seemed likely to begin in a few months. For these reasons, Cox re- "
238,quested that the Committee postpone its hearings; the Committee 
239,quickly rejected this request. 
240,"Before two Committee witnesses were immunized, Cox acted to "
241,reduce the chance that a future criminal case against either of them 
242,would be “tainted” by evidence obtained as a result of their testimony. 
243,He arranged to have the evidence already gathered against each of 
244,them deposited under seal with the District Court before they testi- 
245,"fied at the Committee hearings. And, to minimize possible pretrial "
246,"publicity and ensure maximum fairness to potential defendants, he "
247,sought a court order that the Committee’s grants of immunity be 
248,"conditioned on its holding hearings in executive session, or at least "
249,"without radio and television coverage. However, Judge Sirica con- "
250,cluded that he had no power to issue such an order to a Congressional 
251,"committee, and Cox decided not to appeal the decision, since a pro- "
252,longed conflict with the Committee would have kept both groups from 
253,their investigative work and the likelihood of a successful appeal was 
254,"doubtful. In the end, the continuation of public hearings through the "
255,"summer of 1973, among other benefits, brought to public attention "
256,testimony relating to alleged White House involvement in the Water- 
257,1 Richardson and Cox also made an agreement as to the prosecution of former 
258,Administration officials and others on charges relating to favorable treatment of 
259,financier Robert Yesco in return for a campaign contribution. While the matter 
260,"was within the Special Prosecutor’s jurisdiction, Cox agreed that it should con- "
261,tinue to be handled by the U.S. Attorney’s office for the Southern District of New 
262,"York, which had conducted the investigation and obtained the indictment in the "
263,"case. Thereafter, WSPF exercised very little supervisory authority over the case. "
264,6
265,gate cover-up and other crimes and thereby helped create for the 
266,Special Prosecutor's investigation a base of public and Congressional 
267,support that did much to force the re-establishment of WSPF after 
268,the President's attempt to abolish it later that year. 
269,This early conflict over the possible harm that the Committee's 
270,televised hearings would inflict on the cover-up investigation soon 
271,"subsided. In other WSPF matters, the Committee's staff had com- "
272,menced its investigation some months before the prosecutors were 
273,appointed and had gathered much information of value to WSPF. 
274,"Most of this information was placed on computer tapes, which the "
275,Committee agreed to provide to the prosectors. 2 WSPF decided to 
276,"undertake a similar computer operation, and arranged to use the same "
277,Library of Congress computer system so that information gathered 
278,from other sources could be cross-referenced with that obtained by 
279,the Committee. 
280,"Meanwhile, Cox was selecting a staff that eventually numbered, "
281,"in permanent positions, 37 attorneys, 16 other professionals, and 32 "
282,supporting personnel by August 1974. 3 The bulk of the investigative 
283,"work was divided among five task forces, each responsible for a broad "
284,area of investigation — the Watergate break-in and cover-up; the 
285,allegations about ITT and possible perjury during 1972 Senate hear- 
286,"ings; the activities of the White House “Plumbers"" group, including "
287,the break-in at Ellsberg's psychiatrist's office ; 4 Segretti's activities 
288,"and other alleged campaign “dirty tricks""; and illegal conduct in the "
289,financing of the various Presidential campaigns of 1972. 
290,Assisting and providing support for the task forces were several 
291,other groups. A counsel's office was established to provide legal advice 
292,to the Special Prosecutor and the task forces. An information section 
293,went to work summarizing and cross-indexing the masses of Congres- 
294,"sional and grand jury testimony that had already been gathered, "
295,and creating a filing and reference system that would give any WSPF 
296,investigator access to whatever information was already available 
297,in the area of his inquiry. An office of public affairs handled relations 
298,with the press — an especially sensitive task in view of the dual de- 
